glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
teh-ar,uni062A,062A,411,,
teh-ar.fina,uni062A.fina,,412,,
teh-ar.medi,uni062A.medi,,413,,
teh-ar.init,uni062A.init,,414,,
teh-ar.medi.flat,uni062A.medi.flat,,415,,
tehThreedotsdown-ar,uni067D,067D,420,,
tehThreedotsdown-ar.fina,uni067D.fina,,421,,
tehThreedotsdown-ar.medi,uni067D.medi,,422,,
tehThreedotsdown-ar.medi.flat,uni067D.medi.flat,,423,,
tehThreedotsdown-ar.init,uni067D.init,,424,,
theh-ar,uni062B,062B,429,,
theh-ar.fina,uni062B.fina,,430,,
theh-ar.medi,uni062B.medi,,431,,
theh-ar.init,uni062B.init,,432,,
theh-ar.medi.flat,uni062B.medi.flat,,433,,
behThreedotsupabove-ar,uni0751,0751,454,,
behThreedotsupabove-ar.fina,uni0751.fina,,455,,
behThreedotsupabove-ar.medi,uni0751.medi,,456,,
behThreedotsupabove-ar.medi.flat,uni0751.medi.flat,,457,,
behThreedotsupabove-ar.init,uni0751.init,,458,,
behThreedotsupabove-ar.ss09,uni0751.ss09,,459,ha,ss09
behThreedotsupabove-ar.fina.ss09,uni0751.fina.ss09,,460,ha,ss09
behThreedotsupabove-ar.medi.ss09,uni0751.medi.ss09,,461,ha,ss09
behThreedotsupabove-ar.init.ss09,uni0751.init.ss09,,462,ha,ss09
behThreedotsupabove-ar.medi.flat.ss09,uni0751.medi.flat.ss09,,463,ha,ss09
behThreedotsupbelow-ar,uni0752,0752,464,,
behThreedotsupbelow-ar.fina,uni0752.fina,,466,,
behThreedotsupbelow-ar.medi,uni0752.medi,,468,,
behThreedotsupbelow-ar.init,uni0752.init,,470,,
behThreedotsupbelow-ar.medi.flat,uni0753.medi.flat,,481,,
behVinvertedbelow-ar,uni0755,0755,485,,
behVinvertedbelow-ar.fina,uni0755.fina,,486,,
behVinvertedbelow-ar.medi,uni0755.medi,,487,,
behVinvertedbelow-ar.init,uni0755.init,,488,,
behVinvertedbelow-ar.medi.flat,uni0755.medi.flat,,489,,
behVabove-ar,uni0756,0756,490,,
behVabove-ar.fina,uni0756.fina,,491,,
behVabove-ar.medi,uni0756.medi,,492,,
behVabove-ar.init,uni0756.init,,493,,
behVabove-ar.medi.flat,uni0756.medi.flat,,494,,
behVbelow-ar,uni08A0,08A0,495,,
behVbelow-ar.fina,uni08A0.fina,,496,,
behVbelow-ar.medi,uni08A0.medi,,497,,
behVbelow-ar.init,uni08A0.init,,498,,
behVbelow-ar.medi.flat,uni08A0.medi.flat,,499,,
behhamzaabove-ar,uni08A1,08A1,500,,
behhamzaabove-ar.fina,uni08A1.fina,,501,,
behhamzaabove-ar.medi,uni08A1.medi,,502,,
behhamzaabove-ar.init,uni08A1.init,,503,,
behhamzaabove-ar.medi.flat,uni08A1.medi.flat,,504,,
jeem-ar,uni062C,062C,517,,
jeem-ar.fina,uni062C.fina,,518,,
jeem-ar.medi,uni062C.medi,,519,,
jeem-ar.init,uni062C.init,,520,,
jeem-ar.fina.alt,uni062C.fina.alt,,522,,
jeem-ar.fina.ss07,uni062C.fina.ss07,,523,,ss07
jeem-ar.medi.ss07,uni062C.medi.ss07,,524,,ss07
jeem-ar.medi.low,uni062C.medi.low,,525,,
jeem-ar.medi.stack,uni062C.medi.stack,,526,,
nyeh-ar,uni0683,0683,547,,
nyeh-ar.fina,uni0683.fina,,548,,
nyeh-ar.medi,uni0683.medi,,549,,
nyeh-ar.init,uni0683.init,,550,,
nyeh-ar.fina.alt,uni0683.fina.alt,,552,,
nyeh-ar.fina.ss07,uni0683.fina.ss07,,553,,ss07
nyeh-ar.medi.ss07,uni0683.medi.ss07,,554,,ss07
nyeh-ar.medi.low,uni0683.medi.low,,555,,
nyeh-ar.medi.stack,uni0683.medi.stack,,556,,
dyeh-ar,uni0684,0684,557,,
dyeh-ar.fina,uni0684.fina,,558,,
dyeh-ar.medi,uni0684.medi,,559,,
dyeh-ar.init,uni0684.init,,560,,
dyeh-ar.fina.alt,uni0684.fina.alt,,562,,
dyeh-ar.fina.ss07,uni0684.fina.ss07,,563,,ss07
dyeh-ar.medi.ss07,uni0684.medi.ss07,,564,,ss07
dyeh-ar.medi.low,uni0684.medi.low,,565,,
dyeh-ar.medi.stack,uni0684.medi.stack,,566,,
hah-ar,uni062D,062D,567,,
hah-ar.fina,uni062D.fina,,568,,
hah-ar.medi,uni062D.medi,,569,,
hah-ar.init,uni062D.init,,570,,
hah-ar.fina.alt,uni062D.fina.alt,,571,,
hah-ar.fina.ss07,uni062D.fina.ss07,,572,,ss07
hah-ar.medi.ss07,uni062D.medi.ss07,,573,,ss07
hah-ar.medi.low,uni062D.medi.low,,574,,
hah-ar.medi.stack,uni062D.medi.stack,,575,,
khah-ar,uni062E,062E,611,,
khah-ar.fina,uni062E.fina,,612,,
khah-ar.medi,uni062E.medi,,613,,
khah-ar.init,uni062E.init,,614,,
khah-ar.fina.alt,uni062E.fina.alt,,616,,
khah-ar.fina.ss07,uni062E.fina.ss07,,617,,ss07
